MammalBland,Common Name,Order,Family,Species Name,Status,States
Whale,Blainville's Beaked Whale,Cetacea,,Mesoplodon densirostris,Data deficient,"Alabama, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Rhode Island, South Carolina, Texas, Virginia"
Whale,Blue Whale,Cetacea,Balaenopteridae,Balaenoptera musculus,"U.S ESA - Endangered; IUCN - Endangered as B. m. intermedia, Data Deficient as B. m. brevicauda; Endangered as B. musculus except Vulnerable in North Atlantic and Lower Risk (cd) in North Pacific","Alaska, Alabama, California, Connecticut, Florida, Georgia, Hawaii, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Bobcat,Bobcat,Carnivora,Felidae,Lynx rufus,"Rare or common, depending on geographic region.","Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Gopher,Botta's Pocket Gopher,Rodentia,Geomyidae,Thomomys bottae,Lower risk,"Arizona, California, Colorado, New Mexico, Nevada, Oregon, Texas, Utah"
Dolphin,Bottlenose Dolphin,Cetacea,Delphinidae,Tursiops truncatus,Data deficient,"Alabama, California, Delaware, Florida, Georgia, Hawaii, Louisiana, Maryland, Mississippi, North Carolina, New Jersey, New York, South Carolina, Texas, Virginia"
Bowhead,Bowhead,Cetacea,Balaenidae,Balaena mysticetus,Endangered,Alaska
Bat,Brazilian/Mexican Free-tailed Bat,Chiroptera,Molossidae,Tadarida brasiliensis,Lower Risk (nt),"Alabama, Arkansas, Arizona, California, Colorado, Florida, Georgia, Kansas, Louisiana, Mississippi, Missouri, North Carolina, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Carolina, Texas, Utah"
Mole,Broad-footed Mole,Soricomorpha,Talpidae,Scapanus latimanus,Least concern,"California, Nevada, Oregon"
Bear,Brown Bear,Carnivora,Ursidae,Ursus arctos,Uncommon,"Alaska, Idaho, Montana, Washington, Wyoming"
Rat,Brown Rat,Rodentia,Muridae,Rattus norvegicus,Lower risk,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Deermouse,Brush Deermouse,Rodentia,Cricetidae,Peromyscus boylii,Lower Risk,"Arizona, California, Colorado, Idaho, Kansas, Montana, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Wyoming"
Rabbit,Brush Rabbit,Lagomorpha,Leporidae,Sylvilagus bachmani,Endangered,"California, Oregon, Washington"
Wallaby,Brush-tailed Rock Wallaby,Diprotodontia,Macropodidae,Petrogale penicillata,,Hawaii
Whale,Bryde's Whale,Cetacea,Balaenopteridae,Balaenoptera edeni,Data deficient,"Alabama, Florida, Georgia, Hawaii, Louisiana, Mississippi, North Carolina, South Carolina, Texas"
