MammalBland,Common Name,Order,Family,Species Name,Status,States
Armadillo,Nine-banded Armadillo,Cingulata,Dasypodidae,Dasypus novemcinctus,least concern,"Alabama, Arkansas, Colorado, Florida, Georgia, Kansas, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Nebraska, New Mexico, Oklahoma, South Carolina, Tennessee, Texas"
Deermouse,North American Deermouse,Rodentia,Cricetidae,Peromyscus maniculatus,"Lower Risk (nt) as P. m. anacapae and P. m. clemintis, otherwise Lower Risk (lc)","Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Squirrel,North American Red Squirrel,Rodentia,Sciuridae,Tamiasciurus hudsonicus,,"Alaska, Alabama, Arizona, Colorado, Connecticut, Delaware, Georgia, Iowa, Idaho, Illinois, Indiana, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Vole,North American Water Vole,Rodentia,Cricetidae,Microtus richardsoni,Lower Risk,"Idaho, Montana, Oregon, Utah, Washington, Wyoming"
Whale,North Atlantic Right Whale,Cetacea,Balaenidae,Eubalaena glacialis,Endangered,"Alabama, Connecticut, Delaware, Florida, Georgia, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Rhode Island, South Carolina, Virginia"
Whale,North Pacific Right Whale,Cetacea,Balaenidae,Eubalaena japonica,Endangered,Alaska
Lemming,Northern Bog Lemming,Rodentia,Cricetidae,Synaptomys borealis,Lower Risk,"Alaska, Idaho, Maine, Minnesota, Montana, New Hampshire, Vermont, Washington, Wisconsin"
Whale,Northern Bottlenose Whale,Cetacea,,Hyperoodon ampullatus,Lower Risk,"Massachusetts, Maine, New Hampshire, Rhode Island"
Seal,Northern Elephant Seal,Carnivora,Phocidae,Mirounga angustirostris,Recovering from overhunting,"Alaska, California, Oregon, Washington"
Squirrel,Northern Flying Squirrel,Rodentia,Sciuridae,Galucomys sabrinus,,"Alaska, California, Connecticut, Idaho, Massachusetts, Maine, Michigan, Minnesota, Montana, North Carolina, North Dakota, New Hampshire, New Jersey, Nevada, New York, Oregon, Pennsylvania, Rhode Island, South Dakota, Tennessee, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Seal,Northern Fur Seal,Carnivora,Otariidae,Callorhinus ursinus,"Some populations depleted, while others are doing well","Alaska, California, Oregon, Washington"
Mouse,Northern Grasshopper Mouse,Rodentia,Cricetidae,Onychomys leucogaster,"Data Deficient as O. l. durranti, otherwise Lower Risk (lc)","Arizona, California, Colorado, Iowa, Idaho, Kansas, Minnesota, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Myotis,Northern Myotis,Chiroptera,Vespertilionidae,Myotis septentrionalis,Lower Risk (lc),"Alabama, Arkansas, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Virginia, Vermont, Wisconsin, West Virginia"
Gopher,Northern Pocket Gopher,Rodentia,Geomyidae,Thomomys talpoides,"Vulnerable as T. t. douglasii, Lower Risk as T. t. limosus and T. t. segregatus, otherwise Lower Risk.","Arizona, California, Colorado, Idaho, Minnesota, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Mouse,Northern Pygmy Mouse,Rodentia,Cricetidae,Baiomys taylori,Lower Risk,"Arizona, Louisiana, New Mexico, Texas"
Vole,Northern Red-backed Vole,Rodentia,Cricetidae,Myodes rutilus,Lower Risk,Alaska
Dolphin,Northern Right Whale Dolphin,Cetacea,Delphinidae,Lissodelphis borealis,Lower Risk,"California, Oregon, Washington"
Otter,Northern River Otter,Carnivora,Mustelidae,Lontra canadensis,"Common in the northern part of its range, uncommon to extirpated in southern parts of its range.","Alaska, Alabama, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, New Hampshire, New Jersey, Nevada, New York, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Deermouse,Northern Rock Deermouse,Rodentia,Cricetidae,Peromyscus nasutus,Lower Risk,"Arizona, Colorado, New Mexico, Oklahoma, Texas, Utah, Wyoming"
Shrew,Northern Short-tailed Shrew,Soricomorpha,Soricidae,Blarina brevicauda,Least concern,"Arkansas, Colorado, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Virginia, Vermont, Wisconsin, West Virginia, Wyoming"
Bat,Northern Yellow Bat,Chiroptera,Vespertilionidae,Lasiurus intermedius,Lower Risk (lc),"Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, New Jersey, New York, South Carolina, Texas, Virginia"
Deermouse,Northwestern Deermouse,Rodentia,Cricetidae,Peromyscus keeni,Lower Risk as P. oreas and P. sitkensis,"Alaska, Washington"
Nutria,Nutria,Rodentia,Myocastoridae,Myocastor coypus,common,"Alabama, Arkansas, Delaware, Florida, Georgia, Louisiana, Maryland, Mississippi, Montana, North Carolina, Ohio, Oklahoma, Oregon, South Carolina, Tennessee, Texas, Virginia, Washington"
Ocelot,Ocelot,Carnivora,Felidae,Leopardus pardalis,Endangered,"Arizona, Texas"
Deermouse,Oldfield Deermouse,Rodentia,Cricetidae,Peromyscus polionotus,"U.S. ESA - Endangered as P. p. allophrys, P. p. ammobates, P. p. peninsularis, P. p. phasma and P. p. trissyllepsis, Threatened as P. p. niveiventris; IUCN - Extinct as P. p. decoloratus, Critically Endangered as P. p. trissyllepsis, Endangered as P. p. a","Alabama, Florida, Georgia, Mississippi, North Carolina, South Carolina, Tennessee"
Mouse,Olive-backed Pocket Mouse,Rodentia,Heteromyidae,Perognathus fasciatus,,"Colorado, Montana, North Dakota, Nebraska, South Dakota, Utah, Wyoming"
Shrew,Olympic Island Shrew,Soricomorpha,Soricidae,Sorex rohweri,Least concern,Washington
Marmot,Olympic Marmot,Rodentia,Sciuridae,Marmota olympus,,Washington
Rat,Ord's Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys ordii,,"Arizona, California, Colorado, Idaho, Kansas, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Shrew,Ornate Shrew,Soricomorpha,Soricidae,Sorex ornatus,Least concern,California
Mouse,Pacific Jumping Mouse,Rodentia,Dipodidae,Zapus trinotatus,Lower Risk,"California, Oregon, Washington"
Rat,Pacific Rat,Rodentia,Muridae,Rattus exulans,Lower risk,Hawaii
Shrew,Pacific Shrew,Soricomorpha,Soricidae,Sorex pacificus,Least concern,"California, Oregon"
Dolphin,Pacific White-sided Dolphin,Cetacea,Delphinidae,Lagenorhynchus obliquidens,Lower Risk,"Alaska, California, Oregon, Washington"
Mouse,Pale Kangaroo Mouse,Rodentia,Heteromyidae,Microdipodops pallidus,,"California, Nevada"
Bat,Palla's Mastiff Bat,Chiroptera,Molossidae,Molossus molossus,Lower risk (lc),Florida
Bat,Pallid Bat,Chiroptera,Vespertilionidae,Antrozous pallidus,Lower Risk (lc),"Arizona, California, Colorado, Idaho, Kansas, New Mexico, Nevada, Oklahoma, Oregon, Texas, Utah, Washington, Wyoming"
Chipmunk,Palmer's Chipmunk,Rodentia,Sciuridae,Tamias palmeri,,Nevada
Chipmunk,Panamint Chipmunk,Rodentia,Sciuridae,Tamias panamintinus,,"California, Nevada"
Rat,Panamint Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys panamintinus,,"California, Nevada"
Dolphin,Pantropical Spotted Dolphin,Cetacea,Delphinidae,Stenella attenuata,Lower Risk,"Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Maryland, Mississippi, North Carolina, New Jersey, New York, Rhode Island, South Carolina, Texas, Virginia"
Bat,Peter's Ghost-faced Bat,Chiroptera,Mormoopidae,Mormoops megalophylla,Lower risk (lc),"Arizona, New Mexico"
Squirrel,Piute Ground Squirrel,Rodentia,Sciuridae,Urocitellus mollis,,"California, Idaho, Nevada, Oregon, Utah, Washington"
Deermouse,Pi–on Deermouse,Rodentia,Cricetidae,Peromyscus truei,"Lower Risk (nt) as P. t.. comanche, otherwise Lower Risk (lc)","Arizona, California, Colorado, Idaho, Kansas, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, Texas, Utah, Washington, Wyoming"
Mouse,Plains Harvest Mouse,Rodentia,Cricetidae,Reithrodontomys montanus,Lower Risk,"Arkansas, Arizona, Colorado, Kansas, Missouri, Montana, North Dakota, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Wyoming"
Gopher,Plains Pocket Gopher,Rodentia,Geomyidae,Geomys bursarius,Lower risk,"Arkansas, Colorado, Iowa, Illinois, Indiana, Kansas, Minnesota, Missouri, North Dakota, Nebraska, New Mexico, Oklahoma, South Dakota, Wyoming"
Mouse,Plains Pocket Mouse,Rodentia,Heteromyidae,Perognathus flavescens,,"Arizona, Colorado, Iowa, Kansas, Minnesota, Missouri, North Dakota, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Utah, Wyoming"
Bat,Pocketed Free-tailed Bat,Chiroptera,Molossidae,Nyctinomops femorosaccus,Lower risk (lc),"Arizona, California, New Mexico, Nevada, Texas"
Bear,Polar Bear,Carnivora,Ursidae,Ursus maritimus,Endangered,Alaska
Vole,Prairie Vole,Rodentia,Cricetidae,Microtus ochrogaster,Lower Risk,"Alabama, Arkansas, Colorado, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Michigan, Minnesota, Missouri, Montana, North Dakota, Nebraska, New Mexico, Ohio, Oklahoma, South Dakota, Tennessee, Texas, Virginia, Wisconsin, West Virginia, Wyoming"
Shrew,Preble's Shrew,Soricomorpha,Soricidae,Sorex preblei,Least concern,"California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming"
Shrew,Pribilof Island Shrew,Soricomorpha,Soricidae,Sorex pribilofensis,Endangered,Alaska
Bat,Pristine Moustached Bat,Chiroptera,Mormoopidae,Pteronotus pristinus,Not evaluated,Florida
Antelope,Pronghorn Antelope,Artiodactyla,Antilocapridae,Antilocapra americana,Common,"Arizona, California, Colorado, Idaho, Kansas, Minnesota, Montana, North Dakota, Nebraska, New Mexico, Nevada, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
Whale,Pygmy Killer Whale,Cetacea,Delphinidae,Feresa attenuata,Data deficient,"Alabama, Florida, Georgia, Hawaii, Louisiana, Mississippi, North Carolina, South Carolina, Texas"
Rabbit,Pygmy Rabbit,Lagomorpha,Leporidae,Brachylagus idahoensis,Endangered in WA; otherwise Lower Risk,"California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming"
Shrew,Pygmy Shrew,Soricomorpha,Soricidae,Sorex hoyi,Least concern,"Alaska, Colorado, Georgia, Iowa, Idaho, Illinois, Indiana, Kentucky, Maryland, Maine, Michigan, Minnesota, Montana, North Carolina, North Dakota, New Hampshire, New York, Ohio, South Carolina, South Dakota, Tennessee, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Whale,Pygmy Sperm Whale,Cetacea,Physeteridae,Kogia breviceps,Lower Risk,"Alabama, California, Florida, Georgia, Hawaii, Louisiana, Maryland, Mississippi, North Carolina, New York, Texas, Virginia"
Raccoon,Raccoon,Carnivora,Procyonidae,Procyon lotor,Common,"Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Bat,Rafinesque's Big-eared Bat,Chiroptera,Vespertilionidae,Corynorhinus rafinesquii,Vulnerable,"Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Ohio, Oklahoma, South Carolina, Tennessee, Texas, Virginia, West Virginia"
Fox,Red Fox,Carnivora,Canidae,Vulpes vulpes,Common,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Vole,Red Tree Vole,Rodentia,Cricetidae,Arborimus longicaudus,Lower Risk,"California, Oregon"
Wolf,Red Wolf,Carnivora,Canidae,Canis rufus,Endangered,"Florida, Mississippi, North Carolina"
Chipmunk,Red-tailed Chipmunk,Rodentia,Sciuridae,Tamias ruficaudus,,"Idaho, Montana, Washington"
Seal,Ribbon Seal,Carnivora,Phocidae,Histrophoca fasciata,Uncommon but stable,Alaska
Squirrel,Richardson's Ground Squirrel,Rodentia,Sciuridae,Urocitellus richardsonii,,"Minnesota, Montana, North Dakota, South Dakota, Washington"
Seal,Ringed Seal,Carnivora,Phocidae,Phoca hispida,"Depending on subspecies, they range from common to endangered.",Alaska
Seal,Ringed Seal,Carnivora,Phocidae,Pusa hispida,,Alaska
Cacomistle,"Ringtail, Bassarisk, or Cacomistle",Carnivora,Procyonidae,Bassariscus astutus,Common,"Arkansas, Arizona, California, Colorado, Idaho, Kansas, Louisiana, New Mexico, Nevada, Oklahoma, Oregon, Texas, Utah, Wyoming"
Dolphin,Risso's Dolphin,Cetacea,Delphinidae,Grampus griseus,Data deficient,"Alaska, Alabama, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Cottontail,Robust Cottontail,Lagomorpha,Leporidae,Sylvilagus robustus,"Not evaluated, likely endangered","New Mexico, Texas"
Mouse,Rock Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus intermedius,,"Arizona, California, New Mexico, Texas, Utah"
Squirrel,Rock Squirrel,Rodentia,Sciuridae,Otospermophilus variegatus,,"Arizona, California, Colorado, Kansas, New Mexico, Nevada, Oklahoma, Texas, Utah"
Vole,Rock Vole,Rodentia,Cricetidae,Microtus chrotorrhinus,"Data Deficient as M. c. ravus, Lower Risk (nt) as M. c. carolinensis, otherwise Lower Risk (lc)","Kentucky, Massachusetts, Maryland, Maine, Minnesota, North Carolina, New Hampshire, New Jersey, New York, Pennsylvania, Tennessee, Virginia, Vermont, West Virginia"
Rat,Roof Rat,Rodentia,Muridae,Rattus rattus,Lower risk,"Alabama, Arkansas, Georgia, Hawaii, Massachusetts, Mississippi, North Carolina, New Hampshire, New Mexico, Nevada, New York, Oklahoma, Oregon, Texas, Virginia, Washington, West Virginia"
Vole,Root Vole,Rodentia,Cricetidae,Microtus oeconomus,"Critically Endangered as M. o. arenicola, Vulnerable as M. o. mehelyi, Data Deficient as M. o. Amakensis, M. o. elymocetes, M. o. innuitus, M. o. popfensis, M. o. puukensis, and M. o. sitkensis, otherwise Least Concern",Alaska
Dolphin,Rough-toothed Dolphin,Cetacea,Delphinidae,Steno bredanensis,Data deficient,"Alabama, California, Florida, Georgia, Hawaii, Louisiana, Mississippi, North Carolina, South Carolina, Texas"
Squirrel,Round-tailed Ground Squirrel,Rodentia,Sciuridae,Xerospermophilus tereticaudus,,"Arizona, California, Nevada"
Muskrat,Round-tailed Muskrat,Rodentia,Cricetidae,Neofiber alleni,Lower Risk,"Florida, Georgia"
Vole,Sagebrush Vole,Rodentia,Cricetidae,Lemmiscus curtatus,Lower Risk,"California, Colorado, Idaho, Montana, North Dakota, Nevada, Oregon, South Dakota, Utah, Washington, Wyoming"
Mouse,Salt-marsh Harvest Mouse,Rodentia,Cricetidae,Reithrodontomys raviventris,"U.S. ESA - Endangered; IUCN - Endangered as R. r. raviventris, Lower Risk (cd) as R. r. halicoetes",California
Mouse,San Diego Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus fallax,,California
Mouse,San Joaquin Pocket Mouse,Rodentia,Heteromyidae,Perognathus inornatus,,California
Rat,San Joaquin Valley Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys nitratoides,U.S. ESA Ð Endangered as D. n. nitratoides and D. n. exilis; California Dept. of Fish and Game - Endangered as D. n. exilis; D. n. nitratoides is of Special Concern; and D. n. brevinasus is California Fully Protected.,California
Deermouse,Saxicoline Deermouse,Rodentia,Cricetidae,Peromyscus gratus,Lower Risk,New Mexico
Otter,Sea Otter,Carnivora,Mustelidae,Enhydra lutris,"Rare in the southern part of its range, but common elsewhere.","Alaska, California, Washington"
Whale,Sei Whale,Cetacea,Balaenopteridae,Balaenoptera borealis,Endangered,"Alaska, Alabama, California, Connecticut, Delaware, Florida, Georgia, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Bat,Seminole Bat,Chiroptera,Vespertilionidae,Lasiurus seminolus,Lower Risk (lc),"Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, New Jersey, New York, Oklahoma, Pennsylvania, South Carolina, Tennessee, Texas, Virginia"
Dolphin,Short-beaked Common Dolphin,Cetacea,Delphinidae,Delphinus delphis,"Lower Risk, except for Mediterranean subpopulation which is Endangered","California, Connecticut, Florida, Georgia, Massachusetts, Maryland, Maine, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
Whale,Short-finned Pilot Whale,Cetacea,Delphinidae,Globicephala macrorhynchus,Data deficient,"Alaska, Alabama, California, Florida, Georgia, Hawaii, Louisiana, Maryland, Mississippi, North Carolina, New Jersey, Oregon, South Carolina, Texas, Virginia, Washington"
Mole,Shrew Mole,Soricomorpha,Talpidae,Neurotrichus gibbsii,Least concern,"California, Oregon, Washington"
Mouse,Silky Pocket Mouse,Rodentia,Heteromyidae,Perognathus flavus,,"Arizona, Colorado, Kansas, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Utah, Wyoming"
Bat,Silver-haired Bat,Chiroptera,Vespertilionidae,Lasionycteris noctivagans,Lower Risk (lc),"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Vole,Singing Vole,Rodentia,Cricetidae,Microtus miurus,Lower Risk,Alaska
Chipmunk,Siskiyou Chipmunk,Rodentia,Sciuridae,Tamias siskiyou,Lower Risk,"California, Oregon"
Shrew,Smoky Shrew,Soricomorpha,Soricidae,Sorex fumeus,Least concern,
Hare,Snowshoe Hare,Lagomorpha,Leporidae,Lepus americanus,Lower risk,"Alaska, California, Colorado, Connecticut, Idaho, Massachusetts, Maryland, Maine, Michigan, Minnesota, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Oregon, Pennsylvania, Rhode Island, South Dakota, Tennessee, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Chipmunk,Sonoma Chipmunk,Rodentia,Sciuridae,Tamias sonomae,Lower Risk,California
Vole,Sonoma Tree Vole,Rodentia,Cricetidae,Arborimus pomo,Data Deficient,California
Myotis,Southeastern Myotis,Chiroptera,Vespertilionidae,Myotis austroriparius,Lower Risk (lc),"Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Tennessee, Texas"
Gopher,Southeastern Pocket Gopher,Rodentia,Geomyidae,Geomys pinetis,"Extinct as G. p. goffi; Vulnerable as G. p. cumberlandius and G. p. frontanelus; Lower Risk as G. p. colonus, otherwise Lower Risk.","Alaska, Alabama, Florida, Georgia"
Shrew,Southeastern Shrew,Soricomorpha,Soricidae,Sorex longirostris,Least concern,"Alabama, Arkansas, Florida, Georgia, Iowa, Illinois, Indiana, Kentucky, Louisiana, Maryland, Mississippi, Missouri, North Carolina, Ohio, Oklahoma, South Carolina, Tennessee, Virginia, West Virginia"
Lemming,Southern Bog Lemming,Rodentia,Cricetidae,Synaptomys cooperi,"Extinct as S. c. paludis and S. c. relictus, otherwise Lower Risk (lc)","Arkansas, Connecticut, Delaware, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Missouri, North Carolina, Nebraska, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Dakota, Tennessee, Virginia, Vermont, Wisconsin, West Virginia"
Squirrel,Southern Flying Squirrel,Rodentia,Sciuridae,Glaucomys volans,,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Iowa, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, North Carolina, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, Vermont, Wisconsin, West Virginia"
Mouse,Southern Grasshopper Mouse,Rodentia,Cricetidae,Onychomys torridus,"Data Deficient as O. t. ramona and O. t. tularensis, otherwise Lower Risk (lc)","Arizona, California, New Mexico, Nevada, Utah"
Woodrat,Southern Plains Woodrat,Rodentia,Cricetidae,Neotoma micropus,Lower Risk,"Colorado, Kansas, New Mexico, Oklahoma, Texas"
Gopher,Southern Pocket Gopher,Rodentia,Geomyidae,Thomomys umbrinus,"Lowered Risk as T. u. emotus, otherwise Lower Risk.","Arizona, New Mexico"
Vole,Southern Red-backed Vole,Rodentia,Cricetidae,Myodes gapperi,"Data Deficient as M. g. solus, Lower Risk (nt) as C. g. maurus, otherwise Lower Risk (lc)","Alaska, Arizona, Colorado, Connecticut, Delaware, Georgia, Iowa, Idaho, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, Montana, North Carolina, North Dakota, New Hampshire, New Jersey, New Mexico, New York, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Bat,Southern Yellow Bat,Chiroptera,Vespertilionidae,Lasiurus ega,Lower Risk (lc),"Arizona, California, New Mexico, Texas"
shrew,Southern short-tailed shrew,Soricomorpha,Soricidae,Blarina carolinensis,Least concern,"Alabama, Arkansas, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, South Carolina, Tennessee, Texas, Virginia"
Myotis,Southwestern Myotis,Chiroptera,Vespertilionidae,Myotis auriculus,Lower Risk (lc),"Arizona, New Mexico"
Whale,Sowerby's Beaked Whale,Cetacea,,Mesoplodon bidens,Data deficient,"Massachusetts, Maine, New Hampshire"
Whale,Sperm Whale,Cetacea,Physeteridae,Physeter catodon,US ESA - Endangered; IUCN - Vulnerable as P. macrocephalus,"Alaska, Alabama, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, Texas, Virginia, Washington"
Dolphin,Spinner Dolphin,Cetacea,Delphinidae,Stenella longirostris,Data deficient,"Alabama, Delaware, Florida, Georgia, Hawaii, Louisiana, Maryland, Mississippi, North Carolina, New Jersey, New York, South Carolina, Texas, Virginia"
Mouse,Spiny Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus spinatus,,"California, Nevada"
Bat,Spotted Bat,Chiroptera,Vespertilionidae,Euderma maculatum,Lower Risk (lc),"Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, Texas, Utah, Washington, Wyoming"
Squirrel,Spotted Ground Squirrel,Rodentia,Sciuridae,Xerospermophilus spilosoma,,"Arizona, Colorado, Kansas, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, Utah, Wyoming"
Seal,Spotted Seal,Carnivora,Phocidae,Phoca largha,Common,Alaska
Shrew,St. Lawrence Island Shrew,Soricomorpha,Soricidae,Sorex jacksoni,Endangered,Alaska
Mole,Star-nosed Mole,Soricomorpha,Talpidae,Condylura cristata,Least concern,"Connecticut, Delaware, Florida, Georgia, Illinois, Indiana, Kentucky, Massachusetts, Maryland, Maine, Michigan, Minnesota, North Carolina, North Dakota, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Virginia, Vermont, Wisconsin, West Virginia"
Whale,Stejneger's Beaked Whale,Cetacea,,Mesoplodon stejnegeri,Data deficient,"Alaska, California, Oregon, Washington"
Lion,Stellar Sea Lion,Carnivora,Otariidae,Eumetopias jubatus,"East of 144¼ W threatened, west of 144¼ it is endangered.","Alaska, California, Oregon, Washington"
Rat,Stephen's Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys stephensi,U.S. ESA Ð Endangered;  California Dept. of Fish and Game Ð Threatened,California
Woodrat,Stephen's Woodrat,Rodentia,Cricetidae,Neotoma stephensi,Lower Risk,"Arizona, Colorado, New Mexico, Utah"
Dolphin,Striped Dolphin,Cetacea,Delphinidae,Stenella coeruleoalba,Lower Risk,"Alabama, California, Connecticut, Delaware, Florida, Georgia, Hawaii, Louisiana, Massachusetts, Maryland, Maine, Mississippi, North Carolina, New Hampshire, New Jersey, New York, Oregon, Rhode Island, South Carolina, Texas, Virginia, Washington"
